timestamp,room_temp,room_hum,room_batt_mv,cpu_usage,cpu_temp,gpu_temp,gpu_usage,ram_usage,disk_usage
2026-05-20 02:02:13,28.68,35,2970,1.10,,31.00,0.00,27.10,11.30
2026-05-20 02:02:43,28.67,36,2970,1.90,,31.00,0.00,23.20,11.30
2026-05-20 02:03:14,28.67,36,2970,4.10,,31.00,6.00,23.10,11.30
2026-05-20 02:03:44,28.69,36,2970,3.80,,31.00,0.00,23.10,11.30
2026-05-20 02:04:14,28.72,36,2970,15.10,,31.00,0.00,23.10,11.30
2026-05-20 02:04:45,28.74,36,2924,6.10,,30.00,0.00,23.10,11.30
2026-05-20 02:05:15,28.74,36,2924,14.30,,30.00,0.00,23.20,11.30
2026-05-20 02:05:46,28.72,36,2924,2.20,,30.00,0.00,23.10,11.30
2026-05-20 02:06:16,28.79,35,2924,14.90,,30.00,0.00,23.00,11.30
2026-05-20 02:06:47,28.76,35,2924,0.50,,30.00,0.00,23.10,11.30
2026-05-20 02:07:17,28.79,35,2924,1.80,,30.00,0.00,23.00,11.30
2026-05-20 02:07:48,28.81,35,2924,14.70,,30.00,1.00,23.10,11.30
2026-05-20 02:08:18,28.81,35,2924,2.60,,30.00,1.00,23.10,11.30
2026-05-20 02:08:48,28.83,35,2924,14.00,,30.00,0.00,23.10,11.30
2026-05-20 02:09:19,28.84,35,2924,15.20,,30.00,0.00,23.00,11.30
2026-05-20 02:09:49,28.84,35,2912,14.80,,30.00,1.00,23.10,11.30
2026-05-20 02:10:20,28.83,35,2912,15.10,,30.00,1.00,23.00,11.30
2026-05-20 02:10:50,28.87,35,2912,0.60,,30.00,0.00,23.00,11.30
2026-05-20 02:11:21,28.83,35,2912,14.80,,30.00,0.00,23.00,11.30
2026-05-20 02:11:51,28.84,35,2912,14.20,,30.00,0.00,23.00,11.30
2026-05-20 09:55:25,23.82,40,2981,7.80,,27.00,0.00,17.40,11.30
2026-05-20 09:55:56,23.81,40,2981,8.90,,28.00,2.00,19.70,11.30
2026-05-20 09:56:26,23.81,41,2981,17.20,,29.00,5.00,20.10,11.30
2026-05-20 09:56:57,23.88,41,2981,16.90,,29.00,6.00,19.90,11.30
2026-05-20 09:57:27,23.88,41,2981,23.40,,30.00,6.00,19.70,11.30
2026-05-20 09:57:57,23.87,42,2981,15.10,,29.00,0.00,19.50,11.30
2026-05-20 09:58:28,23.89,42,2981,3.60,,29.00,0.00,20.40,11.30
2026-05-20 09:58:58,23.92,42,2981,1.00,,31.00,15.00,20.80,11.30
2026-05-20 09:59:29,23.92,42,2915,1.40,,30.00,7.00,20.60,11.30
2026-05-20 10:00:00,23.92,42,2915,2.20,,30.00,3.00,20.10,11.30
2026-05-20 10:00:30,23.95,42,2915,1.00,,30.00,0.00,20.80,11.30
2026-05-20 10:01:00,24.00,42,2915,4.40,,30.00,3.00,21.00,11.30
2026-05-20 10:01:31,23.95,42,2915,0.50,,30.00,0.00,21.00,11.30
2026-05-20 10:02:01,23.99,41,2915,0.60,,30.00,0.00,21.00,11.30
2026-05-20 10:02:32,24.02,41,2915,3.70,,30.00,0.00,21.20,11.30
2026-05-20 10:03:02,24.02,41,2915,2.10,,30.00,0.00,21.20,11.30
2026-05-20 10:03:33,24.02,41,2915,1.50,,30.00,0.00,21.20,11.30
2026-05-20 10:04:03,24.04,41,2915,1.10,,30.00,0.00,21.20,11.30
2026-05-20 10:04:34,24.10,40,2899,2.90,,30.00,0.00,21.10,11.30
2026-05-20 10:05:04,24.09,40,2899,0.90,,30.00,0.00,21.30,11.30
2026-05-20 10:05:35,24.12,40,2899,2.10,,30.00,0.00,21.20,11.30
2026-05-20 10:06:05,24.10,40,2899,1.80,,30.00,0.00,21.20,11.30
2026-05-20 10:06:36,24.13,40,2899,0.60,,30.00,0.00,21.60,11.30
2026-05-20 10:07:06,24.15,40,2899,0.90,,30.00,0.00,21.60,11.30
2026-05-20 10:07:37,24.17,40,2899,1.60,,30.00,0.00,21.50,11.30
2026-05-20 10:08:07,24.17,40,2899,0.80,,30.00,0.00,21.40,11.30
2026-05-20 10:08:38,24.18,40,2899,1.00,,30.00,0.00,21.40,11.30
2026-05-20 10:09:08,24.20,40,2899,0.70,,30.00,0.00,21.30,11.30
2026-05-20 10:09:39,24.21,40,2889,0.90,,30.00,0.00,21.30,11.30
2026-05-20 10:10:09,24.21,40,2889,3.40,,30.00,0.00,21.60,11.30
2026-05-20 10:10:40,24.23,40,2889,3.40,,30.00,0.00,21.10,11.30
2026-05-20 10:11:10,24.24,40,2889,0.70,,30.00,0.00,21.20,11.30
2026-05-20 10:11:41,24.28,40,2889,2.10,,30.00,0.00,21.20,11.30
2026-05-20 10:12:11,24.30,40,2889,2.40,,30.00,1.00,21.10,11.30
2026-05-20 10:12:42,24.31,40,2889,0.80,,30.00,0.00,21.10,11.30
2026-05-20 10:13:12,24.32,40,2889,0.70,,30.00,0.00,21.10,11.30
2026-05-20 10:13:43,24.33,40,2889,1.90,,30.00,0.00,21.10,11.30
2026-05-20 10:14:13,24.38,40,2889,6.00,,31.00,0.00,21.10,11.30
2026-05-20 10:14:44,24.40,40,2880,1.30,,30.00,0.00,21.20,11.30
2026-05-20 10:15:14,24.41,40,2880,1.00,,30.00,0.00,21.20,11.30
2026-05-20 10:15:45,24.42,40,2880,2.70,,30.00,0.00,21.30,11.30
2026-05-20 10:16:15,24.46,40,2880,0.40,,30.00,0.00,21.20,11.30
2026-05-20 10:16:46,24.47,40,2880,2.00,,30.00,1.00,21.20,11.30
2026-05-20 10:17:16,24.49,40,2880,3.20,,30.00,0.00,21.20,11.30
2026-05-20 10:17:47,24.54,41,2880,0.30,,30.00,1.00,21.20,11.30
2026-05-20 10:18:17,24.59,41,2880,0.60,,30.00,0.00,21.20,11.30
2026-05-20 10:18:48,24.56,41,2880,0.70,,30.00,0.00,21.20,11.30
2026-05-20 10:19:18,24.64,41,2880,0.50,,30.00,0.00,21.20,11.30
